Comment,Comment Time,Comment Upvotes
"I've been playing King's Field, Armored Core, Kuon and Ninja Blade and It feels like a privilege to be a fan of FromSoftware before they were renown for there Souls Series, Blood Borne and Elden Ring.",8 months ago,
"YES! YES! YES! YES!!!!! Thank you From, I've been craving a new AC for a loooong time. I was an AC fan long before my obsession w the Souls games (and the like).",8 months ago,
I remember as a kid playing armored core on ps2 and not know wtf I was doing. All I knew was I liked the robots. Pretty exceited to try again with a functioning brain.,5 months ago,4
"Fucking love this, I'm buying this, now we need a tenchu game",7 months ago,3
AFTER 9 YEARS HOPEFULLY IT WOULD BE WORTH THE WAIT,8 months ago,
"I love reading longtime fan reactions, that excitement genuinely makes me happy.  I never played an AC game before but with years of souls under my belt im ready for a change.  Looking forward to seeing what they do with this.",8 months ago,191
This brought tears to my eyes! I'm so happy!,8 months ago,
"I played the very first ac game when I was 7 years old. Didn't stop doing that since then. Skipped ps3 games though because I never bought one (but I played Daemon X Machina for Switch). 
Now, after so many years I'll play a new armored core game!",8 months ago,1
Happy Armored Core Day to old and new Ravens and LYNX alike!,1 month ago,3
OMG! After all the years its coming! ️,8 months ago,1
I hope they will have iconic npcs like dark souls.,11 days ago,
Finally after ten thousand years and multiple linkings of the fires the armoured core has risen! All jokes aside absolutely pumped for this! Looks awesome and I'll be pre-ordering having played pretty much every other entry in the series thus far.,8 months ago,201
"It's been a long 15 years fellow Lynx/Ravens; we're the old men now so:

""Hey. I guess there's little need for words...""",8 months ago,9
God I miss the era of Mechs I remember playing this back on my PS2 and coming hot after Elden Ring my hopes for this are high and re emerges the interest in mechs,7 months ago,1
How the F@#$ did I miss this announcement to just now??? Been waiting for a new AC for years!!! This is hype!!!,6 months ago,
"Hi everyone it may sound weird but i loved this trailer, i fell in love with the  visual and the soundtrack, could someone if kind enough recommend me some kind of music or ost that has the same feeling of this trailer pls and thank you",6 months ago,2
"Im so happy thst they brought back this game after 10 years of absence
Here hoping fromsoft would revive one of my favorite games of theirs 
Tenchu
Because honestly stealth is a dying genre ever since the end of metal gear franchise",8 months ago,1
"I love that atmosphere and how gritty it looks, the music is amazing also",8 months ago,157
"I'm going for this if they will add speed up or turbo mode. 

Edit:I wonder what it would be like in the gameplay or in the main game. I don't think it will be like a souls.",8 months ago (edited),
I've waited since another age to play a good armored core again,8 months ago,2
3 months ago this beautifull trailer dropped. So excited for more,5 months ago,
I'm very happy for armor core fans rn,8 months ago,
Armored core 2 was my jam growing up im so hype for this,6 months ago,
"I am literally crying.
I haven't been excited for a game for a whole decade.
Sometimes it is good to live.",8 months ago,14
"Fromsoftware I love you! Gods of gamedev industry, best of the best. Every your game is a masterpiece. Thank you for Elden Ring, thanks for Dark Souls, Sekiro! I dream about Bloodborne and Demon Souls on PC and from now I also dream about ARMORED CORE! Cuz I love robots so much, I dont know, will it be souls game or not and I dont care, because I know, It will be another GOD-tier masterpiece.",7 months ago,1
This is the best trailer I've ever seen.,2 days ago,2
Just made the realization that the arm and weapon the scavenger picks up in this trailer is the one that was blown off in the trailer for the last raven. ,7 months ago,
"This trailer is amazing. This is what a cool concept/design for a game looks like.

Zooming around in a robot and stabbing another robot with a giant drill is cool. Cheesy games with a bunch of interactive cutscenes where the theme is ""family"" (we're seeing this more and more every year) is freaking lame. ",8 months ago (edited),
"my honest reaction:

jaw dropped to the floor",4 months ago,4
This is one of my all time favorite series and I've never been able to beat the campaign on any of them. Building Mechs with friends either split screen or online and battling it out was like nothing else. Can't Wait!,8 months ago (edited),308
a multiplayer mode will be damn awesome.,7 months ago,
"When we fought ""Raven"" in the game, I was so hyped cause they were in the trailer. But sad at the same time cuz we had to defeat them.",3 hours ago,
"WE ARE STILL A FAN OF ARMORED CORE...

DREAM CAME TRUE , THANK YOU ",6 months ago,
"I love you FROM, I love you Miyazaki Hidetaka sama.
お前ら、宮崎英高の後に様を付けろ。神様を呼び捨てにするなんて罰当たりが。
Verdict day 이후로 진짜 오랫동안 기다렸습니다. 더 이상은 시리즈가 안나오는것인가 싶었지만 역시 프롬은 우리의 기대를 저버리지 않네요.",8 months ago,5
Imagine humans really would build those kind of war machines ! ,8 months ago (edited),
I was 12 Years old when i played the First Armored Core game with my late father and now 37 as a dad and feel like a kid again because a game reveal has not made me this happy in years,8 months ago,201
Finally  a new armored core!,8 months ago,1
"I don’t know anything about this game series, but it looks so fucking cool! I’m picking it up Day 1!",6 months ago,
"I do my best to not get Hyped over games because of past... disappointments, but I can't help but be hyped af when I see the Fromsoft logo.",4 months ago,1
I like how people never once talked about Armored Core until this trailer dropped and now it turns out that everyone has been a fan before,8 months ago,1
IT'S FINALLY HAPPENING!!,7 months ago,1
This game made the entire show worth it. From Software fan for life!,8 months ago,49
Fromsoft casually ressurecting my childhood,5 months ago,1
I see that the trailer starts at the kiln of the first flame. Now I'm hyped,8 months ago,
1:40 a mech sized spas twelve has to be one of the coolest things I think I’ve ever seen,8 months ago,1
The trailer made me realize how badass quad legs actually could be on Armored Core,7 months ago,
This have potential to be a short film.,8 months ago,1
"This is going to be one hell of a ride, thank you Fromsoftware for keeping it short and to the point!",8 months ago,89
Best franchise ever.,8 months ago,
"the yell I just did when I saw the word steam at the end made me so light-headed, I've wanted a PC core game ever since I played core 9 breaker",7 months ago,3
This looks like titanfall but a lot more violent and larger scale and I mean that as a compliment.,4 months ago,5
"Born in factories, birthed by engineers, we have created gods of our own to fight for mankind.",4 months ago,2
At long last… the return of the original Fromsoftware. How we missed you.,8 months ago,
"This trailer is a masterpiece!
I can’t wait to jump in to this. I normally only buy one game a year and this is it!
Am also glad to see people’s reactions of wanting to try AC for the first time, I hope you will enjoy it as much as us AC Fans will!",8 months ago,92
I love the music!!!!!!!!!!!! I love it !!!!!!!!!!! Amazing taste!,1 month ago,
"I'll be honest. During the Game Awards, when the FROM SOFTWARE hit the screen, my friend and IMMEDIATELY knew what it was and started shouting and hugging. This must be what sports fans feel like when their team wins at the last second. It's been a LONG TIME. Let's get it done, Ravens!",2 weeks ago,2
Its finally coming out!!! Heck yeah!!!,8 months ago,1
I'm freaking gonna play this!!!,6 months ago,
"I've never heard of this game before but it reminds me of Warhammer 40K, it has a similar vibe.",8 months ago,
I'll never forget my first 3d graphics experience as a kid. My older brother had just gotten the new PS1 and a magazine that came with a demo disc. Once my brother had his fill after several days of playing and went to hang out with friends I turned it on and played the original Armored Core demo. This has been far too long coming. We will battle in the name of our fallen comrades who didn't survive to fight this new fight. ,8 months ago,161
"Day one, god I love Armored Core.",8 months ago,
The part picked up at 1:22 looks a lot like the arm that was shot-off from one of the AC's in the intro of Last Raven.,8 months ago,2
From software is on the cutting edge gaming industry.,3 months ago,1
"A mech game made by the same people who made dark souls, that is legitimately the coolest thing I’ve ever heard",8 months ago,
The soundtrack is so good,6 months ago,
armoured core trailers are always top tier.,8 months ago,141
Never heard of armored core in my life but I'm ready.,7 months ago,4
"1:59 like how to the turret stops firing after the building exploded, the operator most likely died, i always like details such as that.",3 months ago,5
Never really checked out mecha before. Watched this cinematic during TGA livestream and I get it now.,8 months ago,1
That C-Ram is damn cool. It tries to intercept the missile but fails.,1 month ago,1
ARMORED CORE IS BACK BABYYY!!!,8 months ago,2
This is such a beautiful trailer. I can't stop watching it. Literally every frame is a masterpiece.,8 months ago,17
"As soon as I saw the mech I was like ""no way is this Armored Core?"" Then I saw FromSofts logo and was like ""HOLY SHIT THIS IS ARMORED CORE!!!""",6 months ago (edited),1
"Forget being a game, this should be a MOVIE! ",8 months ago,1
I have not been this hyped after seeing a reveal trailer since probably Halo 3. Jesus Christ man.,8 months ago (edited),2
Man i cannot wait for the sound track.,7 months ago,2
A mech game that is half horror sci-fi is what I’d want. Perhaps with a twist that we can’t get out of the pilot seat and we’d be looking an answer for it as well.,2 months ago,1
"Grew up on Armored core and it's been a damned long time, jaw dropped and then the biggest smile of excitement in many years came across my face like a kid in a candy store. From Software, Thank you!",8 months ago,87
"Don't know a single goddamned thing about this franchise, but this trailer is beautiful.",8 months ago,2
"From soft is the only company who can come out with a trailer with zero gameplay, and it makes absolutely no difference because everyone know the game play is going to be incredible anyways.
And in fact it’s probably better they don’t include it to keep more mystery and excitement.",6 months ago,1
"ITS TIME, THE NEW AGE OF MECHA IS UPON US",5 months ago,4
Looks awesome,5 months ago,1
FINALLY AFTER SOME LONG YEARS!,8 months ago,
I haven't been excited for a game in some time. I can't wait to see what FS can do with all they have learned and the talent they have acquired.,8 months ago,82
This looks sick! I have no clue what an armored core is but yoooo,8 months ago,
What are they putting in the food over there at fromsoftware? This has to be the best trailer I've ever seen for a game,7 months ago,1
"""A weapon to surpass metal gear""",8 months ago,11
It's about bloody time!! Kept me waiting way too long,8 months ago,
I hope there's a cockpit view on this game,8 months ago,
"Have every game, one of the most underrated series, theres a learning barrier that turned alot of people off I think but if you stuck with it you got an experience! The late ps2 era were especially great. Glad to see it back.",8 months ago,164
"To all the Armored Core fans, this one is for you.",8 months ago,
I love how theres basically no focus on the humans inside leading you to wonder if there even is one. Of course the voice overs imply they are there,8 months ago,3
"2:08 I wonder, does the trailer imply that this lequid dripping from this thrusting weapon is the ""Core"" of a mecha that was destroyed. Pretty dark, if so.",7 months ago,4
The trailers always look good....,8 months ago,
I cant wait! ,5 months ago,
Dude this reminded me SO much of the Last Raven intro. From Software showing how they are one of the few AAA developers that still has passion and soul in them and pays nods to the games that made them.,8 months ago,302
A whole 10 years and they're finally coming out with another armored Core game,8 months ago,
"When there are no more soldiers, when the rest of the contingent is original engineers and architects the world will still be at war with metal and lasers still fighting for control.

I've been waiting for years for this game to be reborn. At last the moment has come. Titan Fall didn't satisfy me, Mech Warrrior didn't either, Eureka 7 didn't and neither did the anticipated M.A.S.S. Builder. I want Armor Core s2. I hope it's third person without freaking out like was in cyberpunk where everybody wating for 3th person and was delivered first person",8 months ago,
I hope it’s like last raven but honestly anything new is a definite try to learn cause it’s armored core and I love it since last raven was the first ps2 game I ever picked up,7 months ago,
Armored core has the best cgi trailers imo,5 months ago,3
"If Armored core was an Anime, movie, or T.V. series i would be glued to it.",11 days ago,1
God damn I haven't played an armored core since ps2. This is incredible. So love it,8 months ago,361
"Holy shit, the sound design is so good",5 months ago,1
"Did Jesper Kyd work on the music for this game?
Because it sounds a lot like what he did for Sub-Terrania (1994) on Genesis/Megadrive and I absolutely love it!",7 months ago,
AND IT IS AVAILABLE ON STEAM SOON! I CAN'T WAIT!,8 months ago,
"It's time pilots... After 10 years, it's time to create and ride your new mech again and go into battle to fight for your believes one more time, and give an honorable farewell for all those Ravens that has passed away before the coming of this new title.",6 months ago,2
Say no more; take my money. Don't even need to see gameplay. From Software has been releasing masterpieces back-to-back for longer than I've existed.,6 months ago,
"Let's go! Even though I've never played Armored Core, Elden Ring and Sekiro made me fall in love with FromSoftWare. I'm hyped for this!",8 months ago,200
I look forward to it!,8 months ago,
How long we waited for this now....? FINALLY,7 months ago,
Wow nice to be back..i miss this game..been playing this since ps 1..,8 months ago,
"If Dark Souls was Marika's/Radagon's dream...

And Bloodborne Miquella's/Mohg's dream...

And Sekiro Malenia's...",4 months ago,
Man! I can't wait ️,4 months ago,
This series always has the hardest trailers in all of Fromsoft's works,8 months ago,101
"Is this track original for this trailer, or does anyone know more about the music in the latter half of the trailer? I want some more of that on Spotify.",8 months ago,1
Bro this has heavy Terminator vibes. I absolutely can't wait to see what the FromSoft of today does with this.,8 months ago,
I been waiting for years!!! Finally a new AC!,4 months ago,1
This CG cinematic has the same level of quality of any Transformers movie. Amazing work!,1 month ago,
"in the back of my head, i always wondered if there's ever going to be another MECH GAME!!!!!!!!!",8 months ago,
Easily the best reveal at the game awards.,8 months ago,71
I rewatch this for serotonin boosts.,7 months ago,7
This trailer goes so fucking hard. Gonna be watching this shit for weeks,8 months ago,1
"Finally, a weapon to surpass Metal Gear.",8 months ago,2
"Mainstream gaming journalists: is it souls like? is it like elden ring? is it like a mecha sekiro? it's like dark souls but with robots right? will it be like eld-... excuse me, why are you pointing that gun at m-""",8 months ago,10
Since FromSoftware is going back to their old games. I want a Kuon reboot or sequel please !,7 months ago,1
"One of the greatest, most badass trailers I've ever seen. From Software never disappoints.",8 months ago,63
"I have never heard of armored core, I grew up playing titanfall 1 & 2 though and let me say we need another mech game. All I ask is badass round/mission start startup sequences for the mechs, what is a mech game without the cool startup sequences?",8 months ago,1
I wish Bandai and Namco could produce a multi-platform Macross Universe (Robotech) mmorpg,4 months ago,
31 yr old just finding out about this series now. How many more bangers fromsoft got left in them?,8 months ago,
This is the game that all gundam fans need,2 months ago,1
"First time seeing this game. i am gonna say this, i should have played older versions, this looks epix",7 months ago,
"I haven't played any console in years, but Armored Core on my PS1 was definitely one of my all time favourite games. This brings back so much memories. Completing the game and going for the real fun, fighting VS mode! Me and my brothers created our own ACs and fought each other like we're in our own Gundam movie. It was some of the most epic tens of hours we've ever spent.",8 months ago,15
Yes! Our prayers have been finally answered AC bros!,8 months ago,
1:25 is the same AC unit that impales the quad legged AC if you look closely. There has to be some kind of reason for that AC to be collecting destroyed AC unit parts.,8 months ago,
God I can't wait.,6 months ago,1
Look at the art style  not a big mecha fan but im in,8 months ago,
Now THAT'S a trailer.,4 months ago,1
"Back in my day, these were the games that defined From Software and they were just as great back then as they are now. For fans of the series, this is not just an announcement but also a momentous life event. I have never been this excited for a game, EVER!",8 months ago,25
Great. Now From Software needs to bring back Another Century Episode with all the mechas from anime.,7 months ago,
"As a fellow Raven had once said, “Alright, let’s rock”",5 months ago,3
The best a Gundam fan will ever get.,6 months ago,1
I hope frequency is part of the sound track!!!!,6 months ago,2
Music give off Risk of Rain 2 vibes I love it.,4 months ago,2
Breathtaking cinematic and the soundtrack is GLORIOUS! Bringing back the good old day vibe,8 months ago,73
Looks fucking awesome. Can't wait.,8 months ago,
Yeaaaaaaaaaaas I’ve been waiting so long for this ,8 months ago,
Got me feeling like a Raven again already. :'),8 months ago,
"I've waited and waited, this brought out some tears",8 months ago,1
This game is going to Come out So HOT!!!,1 month ago,
"I've waited more than a decade for this moment. Already, I am assured it was worth the wait.",8 months ago,57
They should make an armored core that takes place during the Cold War,6 months ago,2
"Bandai killed it with Ace Combat 7, another series which had not had a decent entry in a while. This should be amazing.",6 months ago,1
Part of me really hopes they make you control the camera with the shoulder buttons,5 months ago,3
I wanted to see White Glint so bad!,4 months ago,
10 years TEN GAWD DAM YEARS!!!,7 months ago,3
"At this point, Bamco and Fromsoft are my favorite game developers. The quality of their games is unreal.",8 months ago,29
I still remember grinding to defeat Berlioz.,7 months ago,1
Armored looks pretty neat.,7 months ago,
Thank you for coming back! ,8 months ago,
fuckin about damn time.. i played the heck out of ac4 and its one of the best franchise ever.. even for non mecha fans..,4 months ago,3
That looks so cool,8 months ago,
"God, these games have such a killer aesthetic. There are a hundred mecha shows and games, but I've never been able to find any that quite nail that vibe of ""gritty worlds of steel machines created as vehicles for war"" quite like Armored Core. It gives me the same vibes as MechWarrior/MechAssault, Steel Battalion. There are just not enough of these games, so seeing this series come back from the dead is so exciting.",8 months ago (edited),29
looks great,1 month ago,
"This is going to sound dumb, but I hope they include that AI voice from AC5:VD, at the main menu when you load up the game.

''Welcome Back''",8 months ago,
I love it,3 months ago,1
"haven't heard of Armoured Core until a few weeks ago and now they released a new game? OH YEAH BABEH IMMA TRY AND GET IT

do I like mechs? not much",8 months ago,1
Can't Wait for this game,6 months ago,
"That sound of the boost starting in the final few seconds of the clip…
Nostalgia can really hit hard when you least expect it",8 months ago,89
"Sekiro's lead designer was in charge of this one.
Color me fairly excited.",7 months ago,1
"Im a new fan of fromsoftware and their games, i love elden ring, bloodborne and sekiro. ArmoredCore is something else, but i trust this studio and devs, so im in",8 months ago,
when i was 13 i traded in a bunch of n64 games and bought AC. I have been waiting for 15+ years for this. LETS GO!!!!,8 months ago,
"Armored Core 6 is the first time an AC game is getting Main Project funding from FromSoft.

That means its getting Elden Ring money, and has been in development since before Sekiro.",7 months ago,8
i mean i would play any FromSoft game at this point.. even if they decide to make a tennis game i will play it,4 months ago (edited),4
"I talk about Armored Core during every major video game event. I'm SO happy that this is happening, I've waiting so long!",8 months ago,46
"1:38 Parry/Deflect
1:43 Posture break with EMP
1:48 Deathblow
2:10 Shinobi Execution",8 months ago (edited),1
This brings back memories to the PS1 days,6 months ago,
It's nice to see how many other fans there are.  I had no idea,8 months ago (edited),2
"Man, it's been ages since I last touched Armored Core, and that was back when AC 3 was a thing on the PS 2",5 months ago,
Oh My God!!!!!! It’s finally happening!!! We back!!!,8 months ago,
"The first ever game trailer I have watched atleast 20 times already and keep on watching everyday. Like holy smokes this shit is just insaneee. I'm not gonna sound like I am a armoured core fanboy or even played any of the games but my god does this trailer tick all the boxes for me.Dark metal, post apocalyptic, mechanical moving parts(as I am a mechanical engineer this shit just made me straight up hardddd), mechs with insane weaponry, mechs transforming, badass combat and just the overall feel is just outstanding man. This trailer gives me chills from head to toe. The music, oh my fuking god the music in this so sick. The helicopter scene and the scene where the mech dashes in was an icing on the cake. I don't care how the gameplay for this game looks like, I just wanna log into the game and watch the moving parts on the robots and customize them if I can. Everyone who has worked on this trailer and people who are working on this game, you all are doing god's work.",8 months ago,197
"bro this shit hits hard, looks like Awaken AKIRA.",8 months ago,1
Finally a PC Armored Core,4 months ago,3
That helicopter scene is very cold af,7 months ago,3
Incroyable  !!!!!!!!!!!!,8 months ago,
Almost forgot to watch this today.,4 months ago,4
The best 5 minutes of the year right here! I've been waiting for over 10 years for a new game in this series and now I can be hype again!,8 months ago,34
Beautiful!!!,8 months ago,
Be so amazing for Miyazaki and from if they won goty I’m 2023 for acfor that would be amazing and really be a positive notch for gaming showing all the bad gaming companies great games can be made if you have some dedication and not be greedy,6 months ago,
"Finally, its been a while ",8 months ago,
Please make another century episode next. I’ve been waiting for a whole decade,7 months ago (edited),
"1:53 is the boss in the story trailer, isn't it?",1 month ago (edited),3
"there art team are next level. They capture things in such a raw form, its a joy to watch really.",8 months ago,12
Can we have a first person VR mod? that would be so freaking epic,4 months ago,1
YEEES A RETURN TO PROPER MECH DESIGN! ACV sucked so hard because all the mechs looked like blocky chnunks. Now its more like AC 3 and 4. So hype! SO HYPE!!,8 months ago,2
I'm totally in!,8 months ago,
"OMGG, I WAIT YEARS FOR THIS!",8 months ago,
I'm way to hyped for this I'm scaredy expectations are too high,6 months ago,2
"I remember playing Armored Core 2 every day on PS2 when I was a kid. It was my favorite game, and now that there is a new one coming out on PS5, words can’t describe how excited I am. This is going to be awesome.",8 months ago,25
"Трейлер шикарный!Но как всегда ожидание и реальность,не сходятся!",8 months ago,
I remember Armored Core since the PS1 & PS2 days,8 months ago,1
"Armored core fans didnt had to git gud to play the souls games, they were raised gud.",7 months ago,9
I'm a long time veteran of every single armored core game. The only thing I need to know is I heard  that this was going to be the first open world armored core game. Is that true?,8 months ago (edited),
"Perfect timing, I have bought just the right gpu for this.",8 months ago,2
I still remember playing Armored Core on PS and fighting 9-ball in the arena. Good times.,8 months ago (edited),136
Can't wait to farm 20 Hours for a Piece of chunk that is usseless and back to the Garage Bois ,8 months ago,1
"Give me more mechs! And if this is even a little Souls-like, gah. I am so down for this.",8 months ago,
This game will slap harder than Will Smith.,8 months ago,2
"I've seen a few of us here, but I think that this is going to scratch my titanfall itch for the next little bit.",3 months ago,
I have faith that FROMSOFTWARE will make the game for the fans and not for the so called game journalists.,8 months ago,1
"OH MY GOD!
I grew up playing this series, god bless you FromSoftware!!
Time to defeat 9-ball in HD",8 months ago (edited),195
"The best game ever , cant wait to remake Oracle and JackO AC",8 months ago,
god this trailer is raw,7 months ago,1
FromSoft is on fire!,8 months ago,1
"Thank you so much, I have waited so long!!!",8 months ago,
"Now we got a game coming how bout some model kits to start this off . The ones we got are plastic hand grenades lol. As a dude who grew up with the original Armored Core, it makes me so happy to see this.",8 months ago,
"Almost 10 years!!! i can't be more happy man i was almost going to cry when i saw it!!! never been so happy to see a game!!

Thanks for this!!! Hope to see you in the battlefield again guys!!!  hope to see nine ball as a hidden boss or something <3",8 months ago,44
"Looking forward, there is severe sortage of good mecha games.",4 months ago,3
"the sound, graphic for trailer so far is good. but i really hope it graphic also awesome. and sound system too",5 months ago,
"""Get in boys, we're going back to the year 2000""",8 months ago,6
"Much MUCH needed game cause of how boring and dull games are today!!!!!!!!!!This is 1 of the games that made PlayStation the best gaming system to have and been here since day 1 on the 1st generation playstation back when i was a kid in 1997 playing it at 11yrs old and LOVED IT!All i ask for now if for the controls to remain the same not be trying to change the fun about it.Btw i only like my armored core to look like a Gundam.If you can kindly get rid of the ""overweight"" option that don't allow me to customize my war machine like i want to,i would appreciate that.I hate having to make my legs look like a funny looking tank just to be able to carry the fire power that i want to",5 months ago,1
Finally... After long time of waiting...,8 months ago,1
"Its crazy had this been annoucned and released pre-souls series days. This would have just been seen as another ""B-movie"" level game to the masses. From Soft you got all the attention now. This is a chance to make armored core bigger than its ever been and bring the series to a whole new era",8 months ago,106
"Someone like me whose never played an AC game, I'd buy a collector's edition.",6 months ago,1
If this turns out to be Armored Core mixed with Galaga and any of the Souls games I'm gonna lose it in the best way possible ='),8 months ago,
many of these shots look like an anime. Fucking sick,8 months ago,
"I played the shit out of AC Project Phantasma and I wont forget an exploit I discovered to rise through the ranks and beat Necron. There was a stage with land mines and I would rush behind a huge bouldee while the enemy tries to find me and gets his health chipped with the mines, and I would just swoop in for the kill lol",8 months ago,1
i can't wait,7 months ago,
"been playing this game since i was in elementary. i'm 34 years old and couldn't help shed a tear when i saw the title. ""ARMORED CORE VI"".",8 months ago,196
"Other studios: ""Finally! Fromsoft isn't releasing a game in 2023! We now have a chance in winning GOTY!""
Fromsoft:",7 months ago,2
"Finally. Psyched to not play the same thing they've done for the last 7+ games. So tired of seeing the ""kingdom in decline"" format. Can't wait to play this and I for one REALLY hope it's nothing like the SoulsBorne games",8 months ago,2
It's the pile bunker for me ,8 months ago,
Keep in mind: Patches is an armored core character.,7 months ago,6
I hope this is the main menu theme,2 months ago,
Very impressive. Chaotic and yet beautiful. Silent but impactful. What an interesting teaser.,8 months ago,57
Ty FromSoftware to not forgot AC! Ty for this new adventure! ,8 months ago,1
I guess I will finally have a reason to get a next gen console,8 months ago,2
"Лучше поздно, чем никогда.",8 months ago,
The king of mecha games....has returned. It's been a loooooong time since we saw you old friend.,8 months ago,1
I wonder if the soundtrack will be similar to this.,8 months ago,1
"Long awaited and like a Phoenix from the ashes! It has returned in its brilliance!  Good to know FS hasn't let go of such an iconic series, hopefully it will get increased recognition and support it deserves now that they have a huge souls-like audience. ",8 months ago,69
I just realized the quad legged ac essentially failed its assault because it attacked the bipedal ac after it got baited with that missile it blocked.,6 months ago,
holy fuck i didn't hallucinate it it's actually real,8 months ago,
Make me feel like I’m in a Gundam. Basically.,8 months ago,1
Why does this give me soulsborne vibes. But it's a mech game  still gonna buy it day 1. Fromsoftware never let's me down,4 months ago,1
That is a GOOD trailer,8 months ago,
after so many years i had always hoped this game series would return,8 months ago,37
"espero que tenha voltado ao estilo do AC1, 2 e 3 que era foda e fez a base de fans, o 4 era até que jogavel o 5 foi uma bosta.",6 months ago,
"Absolute BR 2049 core music.
I'm in.",1 month ago,
"This time, machines made by man become GODS!",7 months ago,1
Sick!!!!!!!,4 months ago,1
"If an AC can learn the value of human life, maybe we can too.",7 months ago,
"I've watched this trailer like 10 times now and I love every single detail, it is 100% perfect.",8 months ago,45
"This would be my first ever Armored Core game, but it looks incredible",7 months ago,1
Damn... they should rly make.... a Break Blade game :),6 months ago,
Anyone know where i can find more music like this,3 months ago,5
Man Japan's killing it lately eh? Take notes game devs,8 months ago,
OH MY FUCKING GOD!! ARMORED CORE RETURNS FROM THE DEAD!! SUPER STOKED ABOUT THIS REVEAL TRAILER!!!,8 months ago,
The director and production team of this trailer needs a raise. Iconic vibe.,8 months ago,45
These mech designs are already goated,8 months ago,
Oh yes my third favorite mech setting behind BattleTech and Titanfall,8 months ago,
EPIC!!!,8 months ago,
"I have serious doubts, yet high hopes, that this will be better than ACFA.",8 months ago,1
FINALLY !,8 months ago,
"Last time I played Armoured Core I was a teenager and didn't fully understand what to do, now I can truly learn this great game series.",8 months ago,64
"Oh man time to study the background story of Armored Core series.  Seems like robotic armies going full scale war, not sure if driven by human pilots.  The scenes look autonomous and massive in scale.",8 months ago,2
"Welp, looks like it's time to make a moonlight laser sword build",7 months ago,2
OST is gonna hit so fckng hard,8 months ago,
Is this basically a modern day of the old mechassault game? I loved that game growing up,8 months ago,
Entirely too cool lol,8 months ago,1
"I like that the Armored Core stories were always post apocalyptic but this seems to have taken the next step towards Souls post apocalyptic

And I'm 300% here for it",8 months ago,30
Bro the Gundam mods for this game is gonna be crazy,4 months ago,1
